# index, name, nodeLabel, _pos
240,par-6,par-6,"array([-0.06683437,  0.832707  ])"
241,CG10263,CG10263,"array([0.02769822, 0.77851418])"
242,Bj1,Bj1,"array([-0.0524782 ,  0.94705822])"
243,CG1104,CG1104,"array([0.25937613, 0.82073157])"
244,vir,vir,"array([0.21924775, 1.03762358])"
245,CG5380,CG5380,"array([-0.03268914,  0.79398019])"
246,BM-40-SPARC,BM-40-SPARC,"array([0.15109759, 0.87573633])"
247,CG10265,CG10265,"array([0.37412355, 0.85445143])"
248,CG17625,CG17625,"array([0.10940301, 0.92629664])"
249,\"mod(mdg4)\",\"mod(mdg4)\","array([0.19685776, 0.96978642])"
250,vnd,vnd,"array([0.16420851, 0.80748107])"
251,CG10267,CG10267,"array([-0.10955342,  0.90780843])"
252,CG15436,CG15436,"array([0.04886124, 0.67183038])"
253,CG4957,CG4957,"array([-0.48272421,  1.01314238])"
254,CG5362,CG5362,"array([-0.0900038 ,  0.62399483])"
255,D19A,D19A,"array([0.09790152, 0.79803868])"
256,CG5050,CG5050,"array([-0.00220266,  0.7581586 ])"
257,CG9797,CG9797,"array([0.19275582, 0.71518789])"
258,D19B,D19B,"array([0.06966375, 1.14840078])"
259,CG17292,CG17292,"array([0.28546421, 1.18201956])"
260,GATAe,GATAe,"array([0.96184622, 0.73779514])"
261,GstE3,GstE3,"array([0.63526364, 0.79367962])"
262,Rm62,Rm62,"array([0.07387279, 0.9134965 ])"
263,numb,numb,"array([0.23347178, 1.02379852])"
264,CG5110,CG5110,"array([-0.3466011 ,  1.16724589])"
265,CG7879,CG7879,"array([0.12743281, 1.00146456])"
266,TfIIFalpha,TfIIFalpha,"array([-0.28906023,  1.36972617])"
267,NHP2,NHP2,"array([-0.04143813,  1.08655989])"
268,Gasp,Gasp,"array([0.02487303, 1.46639245])"
269,\"su(Hw)\",\"su(Hw)\","array([0.1080826 , 1.09125793])"
270,how,how,"array([0.15131218, 0.83243777])"
271,brp,brp,"array([0.13375908, 0.87109398])"
272,Hydr2,Hydr2,"array([0.3190659, 1.146332 ])"
273,CG10298,CG10298,"array([0.61805979, 0.32484841])"
274,rec,rec,"array([0.78345841, 0.11583641])"
275,CG10301,CG10301,"array([-0.26391141,  0.60859486])"
276,CG1314,CG1314,"array([-0.13827492,  0.7632519 ])"
277,Jafrac1,Jafrac1,"array([0.06432426, 0.76832936])"
278,RpS26,RpS26,"array([0.10966051, 0.82636744])"
279,CG14543,CG14543,"array([0.20082273, 0.76820341])"
280,CG6310,CG6310,"array([-0.31433177,  0.76833694])"
281,CG10306,CG10306,"array([0.01973203, 0.8986119 ])"
282,CG5642,CG5642,"array([0.04127248, 0.77437596])"
283,rg,rg,"array([0.18718855, 1.10537053])"
284,CycJ,CycJ,"array([-0.00517583,  0.93440603])"
285,CG7518,CG7518,"array([0.03809045, 0.88570904])"
286,CG10311,CG10311,"array([-0.58379215,  5.36551927])"
287,CG12746,CG12746,"array([-0.63676105,  5.36807355])"
288,CG31643,CG31643,"array([-0.53173381,  5.35669528])"
289,eIF2B-delta,eIF2B-delta,"array([-0.12470402,  0.88817558])"
290,skpC,skpC,"array([-0.02076331,  0.98138439])"
291,NC2alpha,NC2alpha,"array([0.30073851, 0.72143203])"
292,spn-F,spn-F,"array([0.19208224, 0.64521841])"
293,CG1307,CG1307,"array([0.23931534, 0.73775469])"
294,CG17121,CG17121,"array([0.52446494, 0.40372982])"
295,NC2beta,NC2beta,"array([0.33928434, 1.02937352])"
296,CG10321,CG10321,"array([0.46790543, 1.43382051])"
297,Tsp42Ek,Tsp42Ek,"array([0.36343063, 1.31712707])"
298,CG14811,CG14811,"array([0.59621431, 1.66856607])"
299,CG15116,CG15116,"array([0.53810361, 1.31566325])"
300,Syn2,Syn2,"array([0.29831818, 1.22379245])"
301,CG10324,CG10324,"array([0.14258266, 0.56606493])"
302,\"l(2)37Cb\",\"l(2)37Cb\","array([0.47548036, 0.65704436])"
303,CG11266,CG11266,"array([0.01823724, 0.7039796 ])"
304,SRm160,SRm160,"array([-0.05322281,  0.66002861])"
305,\"su(w[a])\",\"su(w[a])\","array([-0.01524257,  0.44423862])"
306,CG31211,CG31211,"array([-0.00621102,  0.70737252])"
307,Srp54,Srp54,"array([-0.03124209,  0.69601898])"
308,CG5808,CG5808,"array([0.04495432, 0.61573042])"
309,CG6340,CG6340,"array([0.21287448, 0.53053788])"
310,CG6843,CG6843,"array([0.16776049, 0.60952855])"
311,TBPH,TBPH,"array([0.04190305, 0.80200184])"
312,CG5890,CG5890,"array([0.28049724, 0.89262958])"
313,Fem-1,Fem-1,"array([0.24713331, 0.66623102])"
314,CG9083,CG9083,"array([0.16282528, 0.739769  ])"
315,nonA-l,nonA-l,"array([-0.07331275,  0.72820416])"
316,CG10869,CG10869,"array([0.17777216, 0.52584873])"
317,CG6425,CG6425,"array([-0.08681123,  0.94957809])"
318,spi,spi,"array([0.13040642, 1.06096443])"
319,CG13272,CG13272,"array([0.28651717, 1.34626918])"
320,Pbgs,Pbgs,"array([0.31470266, 0.12864285])"
321,Tim17a2,Tim17a2,"array([ 0.35655236, -0.11494319])"
322,CG10336,CG10336,"array([0.99779641, 1.03400556])"
323,CG7191,CG7191,"array([0.7055892 , 0.91825475])"
324,CG10339,CG10339,"array([-0.55479614,  1.04265629])"
325,CG17085,CG17085,"array([-0.2127157 ,  0.95515177])"
326,CG10340,CG10340,"array([-0.1167017 ,  1.05188328])"
327,ATPsyn-beta,ATPsyn-beta,"array([0.22085198, 0.83580961])"
328,CG10341,CG10341,"array([0.24036803, 1.17032812])"
329,Prp19,Prp19,"array([0.04370158, 1.20561133])"
330,CG10344,CG10344,"array([0.63363565, 1.15251086])"
331,CG12012,CG12012,"array([0.45263844, 1.16198794])"
332,Grip71,Grip71,"array([0.02903715, 0.67493763])"
333,kel,kel,"array([-0.01152835,  0.57030214])"
334,CG10348,CG10348,"array([-0.10921563,  0.63645434])"
335,gus,gus,"array([0.09218316, 0.86918463])"
336,CG10353,CG10353,"array([0.34123695, 0.5934507 ])"
337,CG13296,CG13296,"array([0.53098305, 0.27924085])"
338,\"ref(2)P\",\"ref(2)P\","array([0.29218824, 0.71144929])"
339,ScpX,ScpX,"array([0.11383703, 0.45078079])"
340,Act87E,Act87E,"array([0.1865506 , 0.75582551])"
341,TepIV,TepIV,"array([0.27357498, 0.6814925 ])"
342,CG7182,CG7182,"array([0.30451889, 0.82862521])"
343,msb1l,msb1l,"array([0.41960436, 0.76458261])"
344,Dlc90F,Dlc90F,"array([0.22961021, 0.65004097])"
345,CG1678,CG1678,"array([0.2640661 , 0.85301139])"
346,CG4053,CG4053,"array([0.75801451, 0.62498285])"
347,CG4335,CG4335,"array([0.10073515, 0.67552092])"
348,CG8584,CG8584,"array([0.77344563, 0.6616982 ])"
349,CG10365,CG10365,"array([0.24935458, 0.62916754])"
350,CG13084,CG13084,"array([0.08122406, 0.80621008])"
351,Xrp1,Xrp1,"array([0.04273208, 0.75345572])"
352,eIF-5A,eIF-5A,"array([0.32556946, 0.81266483])"
353,CG10366,CG10366,"array([0.63734194, 0.95022765])"
354,CG10494,CG10494,"array([0.34710001, 0.98296848])"
355,VhaAC39,VhaAC39,"array([0.36246759, 0.76707075])"
356,CG10373,CG10373,"array([0.12286712, 0.74647937])"
357,CG8248,CG8248,"array([-0.16245126,  0.59373907])"
358,epsilonCOP,epsilonCOP,"array([-0.26459436,  0.71379897])"
359,Lsd-1,Lsd-1,"array([ 3.86914082, -1.66971123])"
360,CG14453,CG14453,"array([ 3.84572686, -1.62569681])"
361,Hrb27C,Hrb27C,"array([0.17197234, 0.82584882])"
362,Rb97D,Rb97D,"array([-0.10827839,  0.84273399])"
363,tna,tna,"array([0.07350901, 1.09966381])"
364,mbc,mbc,"array([0.32545787, 1.01731435])"
365,CG2871,CG2871,"array([0.52990952, 1.34949651])"
366,CG5288,CG5288,"array([0.24150721, 0.68113148])"
367,tos,tos,"array([-0.01807522,  0.78225447])"
368,sol,sol,"array([0.03677866, 0.73309454])"
369,Ubx,Ubx,"array([0.11717468, 0.95743684])"
370,yuri,yuri,"array([-0.01258948,  1.0840951 ])"
371,sxc,sxc,"array([0.06870296, 0.73195844])"
372,CG10664,CG10664,"array([0.29933364, 0.79987691])"
373,Lcp1,Lcp1,"array([0.11430024, 0.52641764])"
374,CG34324,CG34324,"array([-0.15937959,  0.85972029])"
375,CG13043,CG13043,"array([0.01002271, 0.87393573])"
376,CG2852,CG2852,"array([0.32749774, 0.82143358])"
377,Stam,Stam,"array([0.00613099, 0.88878025])"
378,Lcp2,Lcp2,"array([0.22346983, 0.6593706 ])"
379,amos,amos,"array([0.15424811, 1.1552954 ])"
380,CG30417,CG30417,"array([-0.16155956,  1.09976197])"
381,CG10395,CG10395,"array([0.07208124, 0.76335011])"
382,RpL36A,RpL36A,"array([0.08566024, 0.58091937])"
383,CG10396,CG10396,"array([0.67179039, 1.30726601])"
384,CG11163,CG11163,"array([0.39566601, 1.20941366])"
385,CG30089,CG30089,"array([0.59204065, 1.06682768])"
386,CG1041,CG1041,"array([0.00577648, 0.8201373 ])"
387,Tango10,Tango10,"array([-0.09223591,  0.77209982])"
388,CG3371,CG3371,"array([-0.19534541,  0.97941243])"
389,kin17,kin17,"array([-0.17764252,  0.76949085])"
390,TfIIEalpha,TfIIEalpha,"array([0.26571954, 1.40772879])"
391,TfIIEbeta,TfIIEbeta,"array([0.19422259, 1.37115797])"
392,CG10418,CG10418,"array([0.35252974, 0.55579354])"
393,CG2021,CG2021,"array([0.27084178, 0.66723844])"
394,Chi,Chi,"array([0.17397392, 0.9119283 ])"
395,LSm1,LSm1,"array([0.43830695, 0.54754303])"
396,Gem2,Gem2,"array([0.11185546, 0.70581933])"
397,Smn,Smn,"array([0.09394588, 0.54754146])"
398,Rac2,Rac2,"array([0.12337993, 0.91798631])"
399,CG10424,CG10424,"array([0.82959976, 1.05067552])"
400,CG10426,CG10426,"array([0.20136584, 0.36492769])"
401,CG3309,CG3309,"array([0.19761366, 0.45479948])"
402,CG10440,CG10440,"array([-0.20869865,  0.69061685])"
403,AP-2,AP-2,"array([-0.10137678,  0.84914219])"
404,Nf-YB,Nf-YB,"array([-0.00388052,  1.03188778])"
405,Mes4,Mes4,"array([0.32983842, 0.97391162])"
406,Catsup,Catsup,"array([-0.26066624,  0.83333285])"
407,CG9911,CG9911,"array([0.03453776, 0.86165329])"
408,zen,zen,"array([0.10014029, 0.85552087])"
409,Mad,Mad,"array([0.12131389, 0.96361477])"
410,CG4325,CG4325,"array([0.05253679, 0.81927051])"
411,cer,cer,"array([0.47507282, 1.02251804])"
412,CG10992,CG10992,"array([0.10553286, 0.94651847])"
413,CG3074,CG3074,"array([0.33135598, 1.08203859])"
414,CG6337,CG6337,"array([0.31949214, 0.86649053])"
415,CG10462,CG10462,"array([0.09743717, 0.53392114])"
416,Mdr49,Mdr49,"array([0.10287207, 0.58113324])"
417,CG10465,CG10465,"array([-0.31986658,  0.90616286])"
418,Snr1,Snr1,"array([0.04240525, 0.91871857])"
419,Anxb11,Anxb11,"array([-0.09286917,  0.82100262])"
420,CG10466,CG10466,"array([0.60375633, 0.744527  ])"
421,blos2,blos2,"array([0.2558289 , 0.67781959])"
422,CG5280,CG5280,"array([0.31717393, 0.85383214])"
423,CG10469,CG10469,"array([0.30297804, 1.56534111])"
424,pip,pip,"array([0.2134035 , 1.19454192])"
425,CG10470,CG10470,"array([0.5433054 , 1.10540634])"
426,CG9339,CG9339,"array([0.82042916, 1.29393488])"
427,CG10472,CG10472,"array([0.26523681, 1.55029734])"
428,CG31120,CG31120,"array([0.19715476, 1.17026746])"
429,Jon65Ai,Jon65Ai,"array([-0.40944769,  0.35608591])"
430,CG12581,CG12581,"array([-0.1428608 ,  0.59919273])"
431,CG10478,CG10478,"array([-0.18639775,  0.41937041])"
432,Mob2,Mob2,"array([-0.04164392,  0.73433391])"
433,SmE,SmE,"array([-0.05194913,  0.46974298])"
434,CG3876,CG3876,"array([-0.36680865,  0.17970015])"
435,CG7208,CG7208,"array([0.10400731, 0.28585117])"
436,CG12723,CG12723,"array([-0.00727805,  0.83027472])"
437,zfh1,zfh1,"array([-0.07006411,  0.93609805])"
438,CG31999,CG31999,"array([0.12811289, 0.9337125 ])"
439,CG10483,CG10483,"array([-0.16173297,  0.83022967])"
440,Mob4,Mob4,"array([0.08864319, 0.72510671])"
441,Rpn3,Rpn3,"array([0.47145835, 0.9021031 ])"
442,CG10486,CG10486,"array([0.6657961 , 1.22895862])"
443,RpL11,RpL11,"array([0.39025815, 0.99499312])"
444,eyg,eyg,"array([0.16166072, 0.88444096])"
445,term,term,"array([0.0230773 , 0.73718066])"
446,Pole2,Pole2,"array([0.22788808, 1.0400466 ])"
447,CG11555,CG11555,"array([0.0875396 , 1.29347658])"
448,CG14089,CG14089,"array([-0.00189621,  0.97719282])"
449,CG4159,CG4159,"array([0.67469581, 1.18369077])"
450,CG4820,CG4820,"array([0.1166858 , 0.85384422])"
451,Sdc,Sdc,"array([-0.17655199,  1.13793617])"
